types,name,address,city,state,phone,twitter_name,facebook_page_id
Food,Despana Brand Foods,8617 Northern Blvd,Jackson Heights,NY,(718) 779-4971,"",""
Food,Cafe Forant,449 W 51st St,New York,NY,(212) 245-4214,"",""
Nightlife,South 4th Bar & Cafe,90 S 4th St,Brooklyn,NY,(718) 218-7478,South4thBar,south4thbar
Nightlife,Ino Cafe & Wine Bar,21 Bedford St,New York,NY,(212) 989-5769,inonyc,inonyc
Nightlife,Mae Mae Cafe,68 Vandam St,New York,NY,(212) 924-5109,"",""
Nightlife,Lovin Cup Cafe,93 N 6th St,Brooklyn,NY,(718) 302-1180,"",""
Nightlife,Ost Cafe,441 E 12th St,New York,NY,(212) 477-5600,"",""
Nightlife,The Path Cafe,131 Christopher St,New York,NY,(212) 243-1311,www.twitter.com,209542341262
Nightlife,Space Billiard Cafe,34 W 32nd St,New York,NY,(212) 239-4166,"",""
Shopping,Sweet Gifts at Video Cafe,697 9th Ave,New York,NY,(212) 765-6165,"",268945899797774
Arts,Angelika Film Center & Cafe,18 W Houston St,New York,NY,(212) 995-2000,"",""
Arts,Cubana Social,70 N 6th St,Brooklyn,NY,(718) 782-3334,"",""
Arts,Cafe Kabul,2831 Olentangy River Rd,Columbus,OH,(614) 737-3481,"",""
Restaurants,Cafe Bella,2593 N High St,Columbus,OH,(614) 267-1998,"",""
Restaurants,Bodega Cafe,1044 N High St,Columbus,OH,(614) 299-9399,columbusbodega,""
Restaurants,Cafe 3030,Four Points Sheraton Hotel,Columbus,OH,(614) 475-8383,"",""
Restaurants,Grandview Cafe,1455 W 3rd Ave,Columbus,OH,(614) 486-2233,"",""
Restaurants,The Warehouse Cafe,243 N 5th St,Columbus,OH,(614) 221-1220,"",""
Restaurants,The Thurman Cafe,183 Thurman Ave,Columbus,OH,(614) 443-1570,"",""
Restaurants,Plantain Cafe,77 E Gay St,Columbus,OH,(614) 464-2822,"",193779009069
Restaurants,McCarthy's Wildflower Cafe & Catering,3420 Indianola Ave,Columbus,OH,(614) 262-2233,"",""
Restaurants,Drexel Radio Cafe,2256 E Main St,Columbus,OH,(614) 231-1050,drexel_theatre,DrexelTheatre
Restaurants,Mac's Cafe,693 N High St,Columbus,OH,(614) 221-6227,"",""
Restaurants,Cafe del Mondo,659  N 4th St,Columbus,OH,(614) 294-5000,"",""
Restaurants,Caffe DaVinci,3080 Tremont Rd,Columbus,OH,(614) 459-9945,"",""
Restaurants,Caffe Daniela,17 S High St,Columbus,OH,(614) 225-0139,"",""
Restaurants,Chile Verde Cafe,4852 Sawmill Rd,Columbus,OH,(614) 442-6630,"",ChileVerdeCafe
Restaurants,Cafe Brioso,14 E Gay St,Columbus,OH,(614) 228-8366,"",""
Restaurants,Katalina's Cafe Corner,1105 Pennsylvania Ave,Columbus,OH,(614) 294-2233,"",""
Restaurants,Cornerstone Deli & Cafe,3296 N High St,Columbus,OH,(614) 267-3354,"",111875998862337
Restaurants,New Harvest Cafe,1675 N. Arlington Ave,Columbus,OH,(614) 447-8810,NewHarvestCafe,128505523868408
Restaurants,Cafe Ephesus,6720 Perimeter Loop Dr,Dublin,OH,(614) 798-8091,"",""
Restaurants,Northstar Cafe,951 N High St,Columbus,OH,(614) 298-9999,"",""
Restaurants,Udipi Cafe,2001 E Dublin Granville Rd,Columbus,OH,(614) 885-7446,"",""
Restaurants,John Street Cafe,8338 N Lombard St,Portland,OR,(503) 247-1066,"",""
Restaurants,Produce Row Cafe,204 SE Oak St,Portland,OR,(503) 232-8355,"",""
Restaurants,Divine Cafe,049 SW Porter St,Portland,OR,(503) 552-1570,share,""
Restaurants,Delta Cafe,4607 SE Woodstock Blvd,Portland,OR,(503) 771-3101,deltacafepdx,282210680037
Restaurants,Cricket Cafe,3159 SE Belmont St,Portland,OR,(503) 235-9348,200676164270964736,84528095893
Shopping,Stein's Beauty & Nail Supplies,234 Haverford Ave,Narberth,PA,(610) 667-9090,"",""
Shopping,Worldwide Beauty Supplies,6929 Ludlow St,Upper Darby,PA,(610) 352-8854,"",""
Shopping,Sally Beauty Supply,130 Black Horse Pike Ste 202,Audubon,NJ,(856) 573-6972,sallybeauty?,""
Shopping,Beauty & Beauty,6930 Market St,Upper Darby,PA,(610) 734-2182,"",""
Shopping,Camden Beauty Supply Inc,2601 Westfield Ave,Camden,NJ,(856) 365-0432,"",""
Shopping,Top's Discount Store,23 S 69th St,Upper Darby,PA,(610) 352-8283,"",""
Shopping,Dolakeh Beauty Supply Store,882 Main St Apt 1,Darby,PA,(610) 532-8670,"",""
Shopping,Cambridge Discount Plaza,1500 Mount Ephraim Ave,Camden,NJ,(856) 964-4020,"",""
Shopping,Dollar General,520 S 23rd St,Philadelphia,PA,(215) 732-3079,DollarGeneral,DollarGeneral
Shopping,A Dollar Store,901 Market St,Philadelphia,PA,(215) 627-1710,"",""
Shopping,Dollar Days,309 S 48th St,Philadelphia,PA,(215) 476-6005,"",""
Shopping,Dollar General,501 Spring Garden St,Philadelphia,PA,(215) 922-1432,DollarGeneral,DollarGeneral
Shopping,Five Below,2250 S Columbus Blvd,Philadelphia,PA,(215) 463-1266,fivebelow,47684248629
Shopping,Jomar,22 Jackson St,Philadelphia,PA,(215) 339-5802,JomarStores,JomarStores
Shopping,Pennsylvania Hospital Bargain Shop,719 Delancey St,Philadelphia,PA,(215) 829-3497,"",""
Shopping,Family Dollar,2201 Oregon Ave,Philadelphia,PA,(215) 271-5086,"",""
Shopping,Kindy's Factory Outlet,2900 S 20th St,Philadelphia,PA,(215) 271-7600,kindysfactory,""
Shopping,Old City Galley,213 Arch St,Philadelphia,PA,(267) 639-4005,"",""
Shopping,Pickwick Pharmacy,1700 Market St Lbby 101,Philadelphia,PA,(215) 563-4860,"",""
Shopping,Davis Pharmacy,4523 Baltimore Ave,Philadelphia,PA,(215) 222-3349,"",""
