types,name,address,city,state,phone,twitter_name,facebook_page_id
Food,Borgatti's Ravioli & Egg Noodles,632 E 187th St,Bronx,NY,(718) 367-3799,"",""
Food,Caputo's Fine Foods,460 Court St,Brooklyn,NY,(718) 855-8852,"",""
Food,Foods of NY Tours,9 Barrow St,New York,NY,(212) 209-3370,FoodsofNewYork,foodsofny
Food,Raffetto's,144 W Houston St,New York,NY,(212) 777-1261,"",""
Food,Sahadi's,187 Atlantic Ave,Brooklyn,NY,(718) 624-4550,"",sahadis
Food,D. Coluccio & Sons,1214-20 60th St,Brooklyn,NY,(718) 436-6700,"",""
Food,Di Palo's Fine Foods,200 Grand St,New York,NY,(212) 226-1033,Loudipalo,DiPaloSelects
Food,Lobel's,1096 Madison Ave,New York,NY,(212) 737-1372,"",lobels
Food,A & S Italian Pork Store,8614 5th Ave,Brooklyn,NY,(718) 238-6030,"",""
Food,G Esposito & Sons,357 Court St,Brooklyn,NY,(718) 875-6863,"",""
Food,Pino's Prime Meat Market,149 Sullivan St,New York,NY,(212) 475-8134,"",""
Food,Sorriso Italian Pork Store,4416 30th Ave,Astoria,NY,(718) 728-4392,"",""
Food,Economy Candy Market,108 Rivington St,New York,NY,(212) 254-1531,EconomyCandy,108537152527532
Food,Savino's Quality Pasta,111 Conselyea St,Brooklyn,NY,(718) 388-2038,"",""
Food,Russ & Daughters,179 E Houston St,New York,NY,(212) 475-4880,"",""
Food,The Protein Bakery,20 W 20th St,New York,NY,(212) 206-7796,proteinbakery,""
Food,Emily's Pork Store,426 Graham Ave,Brooklyn,NY,(718) 383-7216,"",""
Food,Casa Della Mozzarella Italian Deli,604 E 187th St,Bronx,NY,(718) 364-3867,"",""
Food,Acme Smoked Fish,30 Gem St,Brooklyn,NY,(718) 383-8585,"",""
Food,Alleva Dairy,188 Grand St,New York,NY,(212) 226-7990,"",""
Food,La Maison Du Chocolat,63 Wall St,New York,NY,(212) 952-1123,"",""
Food,Russo Mozzarella And Pasta,344 E 11th St,New York,NY,(212) 254-7452,"",""
Food,Esposito's Finest Quality,354 W 38th St,New York,NY,(212) 868-4142,"",""
Food,Florence Meat Market,5 Jones St,New York,NY,(212) 242-6531,"",""
Food,Pastosa Ravioli,7425 New Utrecht Ave,Brooklyn,NY,(718) 236-9615,"",59433016953
Food,New Amsterdam Market,902 Peck Slip,New York,NY,,NewAmsterdamMkt,NewAmsterdamMarket
Food,Muncan Food Corp,4309 Broadway,Astoria,NY,(718) 278-8847,"",""
Food,Union Square Greenmarket,1 Union Sq W,New York,NY,(212) 788-7476,"",""
Food,D'Amico Foods,309 Court St,Brooklyn,NY,(718) 875-5403,"",""
Food,Holyland Market,122 St. Marks Pl,New York,NY,(212) 477-4440,"",""
Food,Joe's Dairy,156 Sullivan St,New York,NY,(212) 677-8780,"",""
Food,Porto Rico Importing Company,201 Bleecker St,New York,NY,(212) 477-5421,"",""
Food,Landi's Pork Store,5909 Avenue N,Brooklyn,NY,(718) 763-3230,"",brooklynporkstore
Food,Graham Avenue Meats And Deli,445 Graham Ave,Brooklyn,NY,(718) 389-9777,"",""
Food,Pickles & Olives,1647 1st Ave,New York,NY,(212) 717-8966,"",""
Food,Ottomanelli Butcher Shoppe,1549 York Ave,New York,NY,(212) 772-7900,"",""
Food,Butcher Block,43-46 41st St,Sunnyside,NY,(718) 784-1078,"",""
Food,Kalustyan's,123 Lexington Ave,New York,NY,(212) 685-3451,"",""
Food,Spices and Tease,2580 Broadway,Manhattan,NY,(347) 470-8327,spicesandtease,154466941230559
Food,Pain D'Avignon,Essex Street Market,Manhattan,NY,(212) 673-4950,PainDavignonNYC,348968033454
Food,Dickson's Farmstand Meats,75 9th Ave,New York,NY,(212) 242-2630,eatmeaty,""
Food,The Meat Hook,100 Frost St,Brooklyn,NY,(718) 349-5033,"",""
Food,Piemonte Home Made Ravioli Co,190 Grand St,New York,NY,(212) 226-0475,"",""
Food,Schaller & Weber,1654 2nd Ave,New York,NY,(212) 879-3047,schallerweber,SchallerWeber
Food,May-Wah Vegetarian Market,213 Hester St,New York,NY,(212) 334-4428,"",""
Food,Lorimer Market,620 Lorimer St,Brooklyn,NY,(718) 389-2691,"",""
Food,La Maison Du Chocolat,1018 Madison Ave,New York,NY,(212) 744-7117,"",lamaisonduchocolat
Food,Rossman Fruit & Vegetable District,770 3rd Ave,Brooklyn,NY,(718) 788-3999,"",""
Food,Vintner Wine Market,671 9th Ave,New York,NY,(212) 957-7500,"",""
Food,East Village Cheese,40 3rd Ave,New York,NY,(212) 477-2601,"",""
Food,Myers of Keswick,634 Hudson St,New York,NY,(212) 691-4194,"",""
Food,Ping's Dried Beef,58 Mulberry St,New York,NY,(212) 732-7645,"",""
Food,Tino's Delicatessen,2410 Arthur Ave,Bronx,NY,(718) 733-9879,"",46863959020
Food,Yore Meat Market,7115 Fort Hamilton Pkwy,Brooklyn,NY,(718) 748-3308,"",359810553450
Food,Vosges Haut-Chocolat,1100 Madison Ave,New York,NY,(212) 717-2929,vosges,""
Food,Lamarca Cheese Shop,161 E 22nd St,New York,NY,(212) 673-7920,"",""
Food,Minamoto Kitchoan,608 5th Ave,New York,NY,(212) 489-3747,"",""
Food,Grab,438 7th Ave,Brooklyn,NY,(718) 369-7595,"",""
Food,The Meadow,523 Hudson St,New York,NY,(212) 645-4633,"",""
Food,Varsano's Chocolate,172 W 4th St,New York,NY,(212) 352-1171,"",""
Food,Kee's Chocolates,80 Thompson St,New York,NY,(212) 334-3284,keeschocolates,116920394155
Food,Li-Lac Chocolates,40 8th Ave,New York,NY,(212) 924-2280,li-lacchocolates?q=li-lacchocolates,143993678974463
Food,The Family Store,6905 3rd Ave,Brooklyn,NY,(718) 748-0207,"",""
Food,Aigner Chocolates,103-02 Metropolitan Ave,Forest Hills,NY,(718) 544-1850,share,aignerchocolates
Food,The Chocolate Room,86 5th Ave,Brooklyn,NY,(718) 783-2900,ChocolateRoomBK,""
Food,The Chocolate Room,269 Court St,Brooklyn,NY,(718) 246-2600,ChocolateRoomBK,""
Food,The Lobster Place,Chelsea Market,New York,NY,(212) 255-5672,fishguysnyc,108959639143093
Food,Tung Woo Co.,230 Grand St,New York,NY,,"",""
Food,Big Apple Meat Market,575 9th Ave,New York,NY,(212) 563-2555,"",""
Food,Jacques Torres Chocolate,66 Water St,Brooklyn,NY,(718) 875-9772,jacquestorres,jacquestorreschocolate
Food,Marlow & Daughters,95 Broadway,Brooklyn,NY,(718) 388-5700,"",""
Food,Westerly Natural Market,913 8th Ave,New York,NY,(212) 586-5262,WesterlyMarket,157630197629253
Food,Manhattan Fruit Exchange,75 9th Ave,New York,NY,(212) 989-2444,"",""
Food,CafÇ Forant,449 W 51st St,New York,NY,(212) 245-4214,"",""
Food,Fong Inn Too,46 Mott St,New York,NY,(212) 962-5196,"",""
Food,Sable's Smoked Fish,1489 2nd Ave,New York,NY,(212) 249-6177,"",""
Food,Barnyard,149 Ave C,New York,NY,(212) 674-2276,"",""
Food,Vitality & Health Natural Market,46-03 Broadway,Astoria,NY,(718) 777-8477,"",""
Food,Organic Avenue,116 Suffolk St,New York,NY,(212) 358-0500,organicavenue,OrganicAvenue
Food,Leonidas Fresh Belgian Chocolates,485 Madison Ave,New York,NY,(212) 980-2608,Leonidas_US,48594372624
Food,C & J Prime Meat Market,5907 Roosevelt Ave,Woodside,NY,(718) 457-7343,"",""
Food,Santo's Farm,429 Court St,Brooklyn,NY,(718) 246-0135,"",""
Food,Xocolatti,172 Prince St,New York,NY,(212) 256-0332,TIME,xocolatti
Food,Buon Italia,75 9th Ave,New York,NY,(212) 633-9090,"",""
Food,Circus Fruits,5915 Fort Hamilton Pkwy,Brooklyn,NY,(718) 436-2100,"",""
Food,5th Avenue Chocolatiere,693 3rd Ave,New York,NY,(212) 935-5454,5thAveChoc,""
Food,Roni-Sue's Chocolates,Essex Street Market,New York,NY,(212) 260-0421,roni_sue,""
Food,Two For the Pot,200 Clinton St,Brooklyn,NY,(718) 855-8173,"",""
Food,iL Triangolo Restaurant,96-01 Corona Ave,Corona,NY,(718) 271-1250,"",iltriangolonyc
Food,Kafana,116 Ave C,New York,NY,(212) 353-8000,"",""
Food,Mimi's Hummus,1209 Cortelyou Rd,Brooklyn,NY,(718) 284-4444,"",""
Food,Imhotep's Health & Living Foods,734 Nostrand Ave,Brooklyn,NY,(718) 493-2395,"",""
Food,Sunrise Mart,29 3rd Ave,New York,NY,(212) 598-3040,"",""
