types,name,address,city,state,phone,twitter_name,facebook_page_id
food,The Cookie Studio,747-C E College Ave,Decatur,GA,(404) 373-8527,thecookiestudio,thecookiestudio
food,Cloud 9 Cupcakes,3393 Peachtree Rd NE,Atlanta,GA,(404) 869-1099,"",""
food,CamiCakes,4338 Paces Ferry Rd SE,Atlanta,GA,(770) 431-6611,"",""
food,Cake Cafe Atlanta,368 Candler Rd SE,Atlanta,GA,(404) 284-0106,"",""
food,Alon's,1394 N Highland Ave NE,Atlanta,GA,(404) 872-6000,"",""
food,Highland Bakery,655 Highland Ave NE,Atlanta,GA,(404) 586-0772,HighlandBakery1,118971674329
food,Rhodes Bakery,1783 Cheshire Bridge Rd NE,Atlanta,GA,(404) 876-3783,"",""
food,Lee's Bakery,4005 Buford Hwy NE,Atlanta,GA,(404) 728-1008,"",""
food,Henri's Bakery,61 Irby Ave NW,Atlanta,GA,(404) 237-0202,HenrisBakery,191890504217988
food,Alon's Bakery & Market,4505 Ashford Dunwoody Rd,Atlanta,GA,(678) 397-1781,"",""
food,Cami Cakes,2221 Peachtree Rd NE,Atlanta,GA,(404) 748-4288,"",""
food,Joli Kobe Bakery & Bistro,5600 Roswell Rd NE,Atlanta,GA,(404) 843-3257,"",""
food,Cafe At Pharr,3145 Peachtree Rd,Atlanta,GA,(404) 238-9288,"",""
food,Smallcakes,2955 Peachtree Rd,Atlanta,GA,(404) 846-9960,smallcakesop,124985917534820
food,The Cake Hag Cake Shop,501 Grant St,Atlanta,GA,(678) 760-6300,dicklanevelo,""
food,Pan American Bakery,3671 Clairmont Rd,Atlanta,GA,(770) 457-2172,"",""
food,Little European Bakery,334 Sandy Springs Cir NE,Atlanta,GA,(404) 255-8200,"",""
food,Mark Lotti's Classic Cheesecakes and Cakes,3125 E Shadowlawn Ave NE,Atlanta,GA,(404) 233-9636,ClassicCandC,287914948662
food,Panera Bread,2311 N Druid Hills Rd,Atlanta,GA,(404) 982-7270,"",""
food,West Egg Café,1100 Howell Mill Rd NW,Atlanta,GA,(404) 872-3973,"",132419473439214
food,Mozart Bakery,5301 Buford Hwy NE,Atlanta,GA,(770) 936-8726,"",""
food,Henri's Bakery,6289 Roswell Rd NE,Atlanta,GA,(404) 256-7934,"",""
food,Pigtail Pies,,Atlanta,GA,,"",""
food,The Cake Company,2191 Briarcliff Rd NE,Atlanta,GA,(404) 633-3734,"",""
