types,name,address,city,state,phone,twitter_name,facebook_page_id
Arts,Crystal Psychic Readings,15051 Royal Oaks Ln,North Miami,FL,(305) 879-2125,"",""
Arts,EzVip,1370 Washington Ave,Miami Beach,FL,(786) 800-2450,"",""
Arts,McIntyre Institue,16349 NW 57th Ave,Hialeah,FL,(305) 628-8920,"",""
Shopping,Belak Flowers,832 Philadelphia Pike,Wilmington,DE,(302) 762-5000,"",""
Shopping,Ed's Refrigeration & Appliance Repair,1039 N Pine St,Wilmington,DE,(302) 655-4335,"",""
Shopping,Petal Pushers,,Wilmington,DE,(302) 654-4236,"",""
Shopping,Christina's Unique Accessories & More,4001 Concord Pike,Wilmington,DE,(302) 478-7202,"",111095378956247
Shopping,Al's Sporting Goods,200 N Market St,Wilmington,DE,(302) 655-1511,"",454800910656
Shopping,Action Hardware,Branmar Plz,Wilmington,DE,(302) 475-5811,"",""
Shopping,Borders,4221 Concord Pike,Wilmington,DE,(302) 477-0361,bnbuzz,barnesandnoble
Shopping,Classic Video,1903 Delaware Ave,Wilmington,DE,(302) 658-3549,"",""
Shopping,Irini's Originals,400 Philadelphia Pike,Wilmington,DE,(302) 762-0397,"",""
Shopping,Verizon Wireless,4407 Concord Pike,Wilmington,DE,(302) 529-2750,verizonwireless,verizon
Shopping,Accent Music,4120 Concord Pike,Wilmington,DE,(302) 477-1112,"",""
Shopping,Costanza Jane,910 N Union St,Wilmington,DE,(302) 655-8180,"",""
Shopping,Quality Eyewear,2323 Pennsylvania Ave,Wilmington,DE,(302) 654-6743,"",""
Shopping,Ilis Inc,910 N Union St Ste 3,Wilmington,DE,(302) 654-3000,"",""
Shopping,Action Hardware,1812 Marsh Rd Ste 15,Wilmington,DE,(302) 475-5811,"",""
Shopping,Demello Douglas C OD,1601 Delaware Ave,Wilmington,DE,(302) 652-5400,"",""
Shopping,Theater Xtreme,4433 Concord Pike,Wilmington,DE,(302) 655-4428,"",""
Shopping,AT&T,4325 Concord Pike,Wilmington,DE,(302) 478-3438,"",""
Shopping,Prescription Center,1207 N Scott St,Wilmington,DE,(302) 658-6874,"",""
Shopping,Cricket Communications,440 S Market St,Wilmington,DE,(302) 656-2714,cricketnation,56982775587
Shopping,Efotolab.Com Inc,1900 Superfine Ln,Wilmington,DE,(302) 984-0807,"",""
Shopping,Concord Mall,425 Concord Candy Co,Wilmington,DE,(302) 478-7635,"",""
Shopping,Angerstine's Building Supply & Design Center,315 New Rd,Wilmington,DE,(302) 996-3500,"",""
Shopping,Plushbeds,1201 N Orange St,Wilmington,DE,(888) 449-5738,"",""
Shopping,Wilmington Country Store,4013 Kennett Pike,Wilmington,DE,(302) 656-4409,"",""
Shopping,IBM Corp,1001 N Jefferson St Ste 1,Wilmington,DE,(302) 428-5000,"",""
Shopping,Deco Fabrics Inc,Midway Shopping Ctr,Wilmington,DE,(302) 999-8381,"",""
Shopping,Gapkids,Concord Mall,Wilmington,DE,(302) 477-0295,gap,Gap
Shopping,Wheeler's Athletic Supply,100 Rockingham Dr,Wilmington,DE,(302) 477-0754,"",""
Shopping,Cutler Camera,Concord Mall,Wilmington,DE,(302) 478-0505,"",""
Shopping,Hayes Sewing Machine Co,4425 Concord Pike,Wilmington,DE,(302) 764-9033,"",""
Shopping,A T & T Wireless,4737 Concord Pike,Wilmington,DE,(302) 478-1999,"",""
