"id","business_type","photo_file_name","photo_content_type","photo_file_size","photo_updated_at","created_at","updated_at"
"5","bar","bar.jpeg","image/jpeg","5545","2011-10-13 16:00:02.087751","2011-10-13 16:00:02.247130","2011-10-13 16:00:02.247130"
"6","coke","coke.jpeg","image/jpeg","4162","2011-10-13 16:00:21.319126","2011-10-13 16:00:21.453696","2011-10-13 16:00:21.453696"
"7","grocery","grocery.jpeg","image/jpeg","3889","2011-10-13 16:00:38.210662","2011-10-13 16:00:38.369946","2011-10-13 16:00:38.369946"
"8","store","store.jpeg","image/jpeg","44878","2011-10-13 16:00:59.065126","2011-10-13 16:00:59.265862","2011-10-13 16:00:59.265862"
